frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
39,534.5767,146.96349,535.22626,141.03938,529.6313,140.53603,526.5046,140.87581,509.0948,139.82684,508.0465,165.26056,476.21738,168.47427,491.27573,211.08635,448.38885,220.16566,527.8442,216.04079,483.30978,239.74333,464.14566,234.00113,433.9582,236.08842,499.0048,296.66376,442.4053,305.92133,497.09436,384.86874,420.1342,389.12198
40,537.317,150.16301,537.5802,144.40617,533.0627,143.68436,527.0241,143.29674,513.1003,141.43245,507.61456,169.47743,475.15942,165.79228,493.95474,214.42465,442.38693,212.02681,537.9258,216.8691,478.35345,232.6227,459.22433,232.38805,430.74094,232.04893,487.52512,299.7109,442.21655,304.3157,476.13113,385.21298,414.40167,389.76114
41,534.61584,154.43365,535.1781,148.91635,532.04486,148.13042,523.4601,145.95319,515.8071,143.76474,502.3897,167.34273,483.26138,168.37471,507.66003,212.75461,498.18,218.87997,550.1545,213.14656,551.6308,219.37509,455.5017,229.1171,434.97937,229.06766,476.1833,306.0786,437.6484,307.24554,465.60574,388.33563,408.0205,390.20013
42,535.7649,159.37094,536.4042,153.76048,532.9097,152.91222,523.64514,150.76947,515.71967,148.73425,502.26752,170.48262,484.13834,172.82805,513.74304,210.01651,473.77753,219.86812,556.8301,208.39828,500.39008,245.1025,450.7835,233.95688,431.85175,233.87944,474.63635,310.1047,432.5714,313.20956,463.6032,392.07187,398.51978,392.4728
43,540.72955,165.32802,540.18427,158.56053,537.1438,159.41551,524.33344,155.02725,517.95654,157.04291,504.2781,170.61865,495.2056,180.25916,511.6901,212.09001,525.2567,221.4806,544.36316,217.93867,565.9553,212.7722,450.59937,235.15376,433.03238,237.51091,476.03928,311.81552,428.75967,318.098,466.17642,393.45218,393.3615,395.82352
44,536.9985,172.12112,538.0798,166.04472,534.1161,165.78688,525.8491,161.8692,517.3546,161.02274,505.9785,177.78761,492.84616,183.99158,526.84625,214.14062,512.8009,221.24551,567.27515,207.17233,557.02045,219.96222,447.23593,236.66946,428.64484,237.1528,477.6698,309.09436,430.58777,314.138,465.2871,393.03207,387.17767,394.92996
45,542.0132,176.328,543.4079,170.6255,538.41516,170.24059,532.43304,167.48232,519.4499,166.1436,513.0254,184.4425,485.0417,188.82584,530.99396,217.63098,449.27322,233.98222,571.04144,207.9224,445.7185,278.8894,450.8775,238.41026,428.51743,238.40454,477.8288,312.84604,426.31033,317.64786,465.95886,393.57553,383.96356,397.1503
46,541.6186,179.14671,541.30835,173.6983,539.17755,174.00642,527.8903,169.66156,522.9673,170.3081,510.00394,186.06882,489.08868,189.79109,528.8935,219.41402,467.42657,231.52374,565.3433,211.62347,469.35663,266.92798,447.60117,238.83307,428.05804,239.03868,477.16544,311.07587,427.6597,317.52615,466.73434,392.94888,384.9498,396.22598
47,540.49396,179.38583,540.947,174.23549,537.6422,173.98824,529.07837,171.35603,520.51685,170.58476,510.99847,190.67947,484.16348,191.62314,530.844,225.06306,440.2168,232.45401,567.24786,210.68227,437.6939,282.73972,445.71954,241.89517,425.63516,241.84534,475.63458,312.74557,431.415,321.35193,465.91507,393.7735,388.09305,396.1639
48,540.9947,179.6232,541.62695,174.1935,537.92584,173.98146,528.6241,170.54881,519.999,169.9321,506.82483,186.8732,493.7572,191.09798,523.78436,220.99313,491.8162,230.7785,558.16907,212.79541,502.9253,250.74658,441.2656,239.00502,425.05194,239.55571,474.29666,308.8598,436.44348,318.2234,466.63947,392.70923,394.18314,398.2169
49,542.22296,178.436,542.327,172.13564,538.967,172.70166,527.70526,167.9017,520.55585,169.62302,504.61423,182.20248,496.51178,193.89279,518.89166,214.68246,507.72046,232.81169,552.23376,212.11487,534.6884,232.91827,435.09305,235.69614,420.6294,238.92833,472.25742,307.26923,439.10516,317.61188,467.40088,392.9038,400.7762,399.64703
50,543.1936,177.56503,542.23676,170.81667,540.74854,172.06883,526.41595,165.57634,523.95276,169.10852,505.7378,181.16014,489.4735,194.44734,514.3934,217.20317,462.09076,237.69406,546.13696,216.69485,463.9223,270.35013,435.52124,238.16505,417.86145,242.5634,475.09088,308.26868,439.14722,319.44952,470.58853,393.73428,401.09418,402.80078
